application_id,job_id,candidate_id,apply_date
974a2447-ab73-460c-83f0-79b3f78ffd83,41dc1c60-a5f6-4735-b57b-6b29bb2aa146,9fd60922-8b5f-44aa-a338-6d523483a23b,2025-03-12
2a46cb32-439c-44f8-a93b-f044d2925f7c,ff6ef9ed-7e4c-429f-b8cb-ab4c97790e84,e830257d-cf8b-4eb2-83f1-5176eed15809,2025-09-26
75f32c8e-83fc-4a2b-8d0d-13d3779ee83d,c8acffcf-a04d-4d14-997d-bae10bc2ea72,aaef7529-01aa-4b80-8040-1b203946ad23,2025-05-23
288a2e51-d74d-430e-8e0f-6619692661f5,f64ab6ec-30a5-448e-afe9-b3d0363908bf,3fa27ffd-3180-4811-9767-10d764188dde,2025-08-19
af314f40-5e8f-4d7e-bc36-c559156c992b,b674410d-d218-49d6-8093-bfb024e9bcfd,dc406c3b-2e50-478b-945f-d39a376788ab,2025-06-21
f9dbe07e-1560-4ec8-9ca9-31d9e5bf1379,b49e04cc-c243-49e7-a387-eaf6d4c3a832,a66c93f2-87f2-4581-8809-c026dc29aca7,17-Oct-2025
4291b38c-e4e7-47a3-a624-f8eded965f31,746cdb77-1fa3-42e8-895c-cd9943b38eb4,513cd464-9473-47cd-b0b8-1530dc4e557f,2025/06/26
3baeeb8e-ed56-4361-bcc9-3b94835d7e20,ef3a6f27-ef06-4ccb-8f7c-1d59594b2a3a,2a31edfd-6166-4c7c-93c6-e5a067b4a019,2025-10-12
426ea2f9-0693-401a-8fd6-bb310fcc8520,12d2fa06-49e1-4d13-8da0-04955cce5ba9,8a8a4105-c0eb-4875-b439-67294b8e5509,2025-10-21
305cb0ae-d795-487f-ae09-5630d7b42669,f758dce2-0556-4aea-a7b0-32831d7c0098,198493ce-33e1-46f7-b57a-d70346281fb8,"October 24, 2025"
aca19386-7feb-4020-a417-eadf82ca3ac9,216e9fe5-93f3-4596-8c1c-8b0556771f36,2fa83aa4-8bf9-466d-b782-e83f29a9b2d7,2025-08-09
769eb31c-2683-4a4c-8133-25f1e76032c3,103246b3-255b-4c1c-be3d-5ee444b64ec1,db6f3ad4-0cce-4325-9e88-ebab07fcb800,2025-10-21
5ac9c4d4-96be-441b-8b0a-e00f4462ecae,f1533ae8-670a-4c5c-b321-bf214dd8eb85,955ce1d2-50c4-4c2b-a8c4-51fc9f8c1c81,2025/11/15
7e8e148b-0b44-4907-ad59-ae125ac7b94d,22d839d3-33e4-4986-b18c-ccdc131eb723,cb508544-b481-4cde-aeaf-ab5619b65b6b,2025-05-12
8d9f42bc-b0e0-4156-8ef8-8a52e4cda3b9,d756ba9c-c64c-4647-9ea7-017cb89f7039,0472f9f6-ec64-44e0-a198-6e3cd19fcf31,2025-06-05
94bea0bd-75d2-4173-ae56-aea4c76e8e04,b5f3f8aa-dc6d-4fff-99c2-f153b06b0f0c,fb0f79e5-18f6-4e0c-bd28-98b006e2e080,2025-11-12
e2801ef0-0b90-4a34-a3d6-f33a4af83592,4e8adc4b-7724-4041-9e43-fbd2aaf407f7,2212b446-f39e-4b73-a24a-7b893f22cd74,2025-11-07
43cbfd06-b869-4e43-bfa7-d9548bfafb8c,d6d744fd-ef69-4980-9ad4-79ef636fa890,5a042fb0-9fcf-4711-aaaf-196695be6c8a,2025-07-19
2727aea4-02f9-4785-b1a6-792510941b53,9c89d374-c664-45a7-8077-3e33690e7e62,56fe972b-5acb-487d-9594-9c84a8aa454e,2025.07.06
6818f77e-a15c-4648-9355-441e3e3f9b1e,1723199d-bf2c-44a0-ba3c-8a71ff574e2b,e05c1fb9-2e0e-44aa-a65e-0ac332b6f533,2025-11-14
80768a77-b25a-4225-885f-40aa666ef491,bfbbb17f-9854-4e4e-8ebf-a5c3cae9b4a7,76c31071-c1bf-4df8-bead-63bc676a504c,"June 15, 2025"
c0bdbeaf-fcce-4fb6-bd97-a59526be21e5,3de28859-51b1-443c-9b2e-dedb8fc85fc0,a6c1d136-9bd6-4068-ba8d-6f8cfe05fcef,2025-11-03
